,,,,,,,,
SELECT * FROM [mro2].[ComputationReference],,,,,,,,
,,,,,,,,
ComputationReferenceId,Code,Name,Description,SortOrder,IsActive,CreatedDate,,
1,ABSOLUTE,Absolute / Total,Running lifetime total. Never resets. Informational tracking only.,1,1,13:39.2,,
2,SINCE_NEW,Since New,Counter from date of manufacture or return-to-new overhaul. Hard-time life limits (EASA/FAA mandatory).,2,1,13:39.2,,
3,SINCE_OH,Since Last Overhaul,Resets at each overhaul shop visit. TBO and HSI intervals.,3,1,13:39.2,,
4,SINCE_INSTALL,Since Last Installation,Resets each time the component is installed on an aircraft. Typical for periodic inspection intervals.,4,1,13:39.2,,
5,EXECUTION_DATE,Execution Date,Date the last accomplishment was recorded in the logbook. Calendar-based inspection intervals.,5,1,13:39.2,,
6,INSTALL_DATE,Install Date,Date component was installed on its parent aircraft. Calendar limits from installation.,6,1,13:39.2,,
7,MANUFACTURE_DATE,Manufacture Date,Date of manufacture stamped on the component. Shelf life and calendar limits from production.,7,1,13:39.2,,
8,CURE_DATE,Cure Date,"Cure/mix date for elastomers, O-rings, seals, pyrotechnics and perishable materials.",8,1,13:39.2,,
,,,,,,,,
,,,,,,,,
SELECT * FROM [DB2BAFRA].[mro2].[CounterBasis],,,,,,,,
,,,,,,,,
CounterBasisId,Code,Name,Description,SortOrder,IsActive,,,
1,ABSOLUTE,Absolute / Total,Lifetime running total. Never resets. Informational tracking.,1,1,,,
2,SINCE_INSTALL,Since Install,Resets each time the component is installed on an aircraft. Typical for periodic inspection intervals.,2,1,,,
3,SINCE_NEW,Since New,Resets only when returned to new standard (full overhaul). Used for hard-time life limits (EASA/FAA).,3,1,,,
4,SINCE_OH,Since Overhaul,Resets at each overhaul shop visit. Used for TBO and HSI intervals.,4,1,,,
,,,,,,,,
,,,,,,,,
SELECT * FROM [DB2BAFRA].[mro2].[CounterDef],,,,,,,,
,,,,,,,,
CounterDefId,CounterTypeId,Code,Name,AppliesToAssetKindCode,UnitStorage,SortOrder,IsActive,CreatedDate
1,2,AF_BLOCK_OFF_MIN,Aircraft Block Time (minutes),AIRCRAFT,MINUTES,1,1,06:56.1
2,1,AF_FLIGHT_MIN,Aircraft Flight Time (minutes),AIRCRAFT,MINUTES,2,1,06:56.1
3,6,AF_LANDINGS,Aircraft Landings,AIRCRAFT,COUNT,3,1,06:56.1
4,7,AF_TOUCH_AND_GO,Touch-and-Go,AIRCRAFT,COUNT,4,1,06:56.1
5,5,AF_CYCLES,Aircraft Flight Cycles,AIRCRAFT,COUNT,5,1,06:56.1
6,8,APU_CYCLES,APU Cycles,COMPONENT,COUNT,1,1,06:56.1
7,3,APU_HOURS_MIN,APU Hours (minutes),COMPONENT,MINUTES,2,1,06:56.1
8,4,ENG_HOURS_MIN,Engine Hours (minutes),COMPONENT,MINUTES,3,1,06:56.1
9,9,ENG_STARTS,Engine Starts,COMPONENT,COUNT,4,1,06:56.1
10,10,CAL_DAYS,Calendar Days,AIRCRAFT,COUNT,1,1,06:56.1
,,,,,,,,
,,,,,,,,
SELECT * FROM [DB2BAFRA].[mro2].[CounterReference],,,,,,,,
,,,,,,,,
CounterReferenceId,Code,Name,RefCategory,SortOrder,IsActive,CreatedDate,,
1,SNEW,Since New,EVENT,1,1,09:26.7,,
2,SOH,Since Last Overhaul,EVENT,2,1,09:26.7,,
3,SRI,Since Last Repair,EVENT,3,1,09:26.7,,
4,SINSP,Since Last Inspection,EVENT,4,1,09:26.7,,
5,MFG_DATE,Manufacture Date,EVENT,5,1,09:26.7,,
6,INSTALL_DATE,Installation Date on Aircraft,EVENT,6,1,09:26.7,,
7,REC_DATE,Received Date (in store),EVENT,7,1,09:26.7,,
8,CURE_DATE,Cure Date (elastomers),EVENT,8,1,09:26.7,,
9,AMM,Aircraft Maintenance Manual,DOCUMENT,10,1,09:26.7,,
10,CMM,Component Maintenance Manual,DOCUMENT,11,1,09:26.7,,
11,IPC,Illustrated Parts Catalog,DOCUMENT,12,1,09:26.7,,
12,SB,Service Bulletin,DOCUMENT,13,1,09:26.7,,
13,AD,Airworthiness Directive,DOCUMENT,14,1,09:26.7,,
14,TR,Technical Report,DOCUMENT,15,1,09:26.7,,
,,,,,,,,
SELECT * FROM [DB2BAFRA].[mro2].[CounterType],,,,,,,,
,,,,,,,,
CounterTypeId,Code,Name,UnitStorage,DisplayUnit,SortOrder,IsActive,CreatedDate,
1,FLIGHT_HOURS,Aircraft Flight Hours,MINUTES,hrs,1,1,06:44.3,
2,BLOCK_HOURS,Aircraft Block Hours,MINUTES,hrs,2,1,06:44.3,
3,APU_HOURS,APU Hours,MINUTES,hrs,3,1,06:44.3,
4,ENGINE_HOURS,Engine Hours,MINUTES,hrs,4,1,06:44.3,
5,FLIGHT_CYCLES,Flight Cycles,COUNT,cycles,5,1,06:44.3,
6,LANDINGS,Full Stop Landings,COUNT,ldg,6,1,06:44.3,
7,TGO,Touch-and-Go Landings,COUNT,ldg,7,1,06:44.3,
8,APU_CYCLES,APU Cycles,COUNT,cycles,8,1,06:44.3,
9,ENGINE_STARTS,Engine Starts,COUNT,starts,9,1,06:44.3,
10,CALENDAR_DAYS,Calendar Days,COUNT,days,10,1,06:44.3,
